Start,End,Date text,Date (for research purposes only),Region,Country,Lat,Long,Basis,Headline,Description,Sources,
2015,2015,2015,,Eastern Europe,Ukraine,48.5516,39.3261,Casualty,Ukrainian town loses water supply,Most of the villages and towns in the southwest portion of the Lugansk region in Ukraine lose access to their water supply after fighting damages a water main.,Agence France-Presse (AFP) 2015c,
2018,2018,2018,,Sub-Saharan Africa,Mali,14.0747,-3.08267,Trigger,"At least 8 more killed in ongoing conflict over access to water between farmers and herders, Mali"," At least eight more people die in an ongoing conflict between the Fulani and Dogon communities in Mali near the town of Koro, sparked by access to water and grazing disputes. Since March 2018, the total death toll from this ongoing conflict is reported to be 25.",Agence France-Presse (AFP) 2018a,
2018,2018,2018,6/23/2018,Sub-Saharan Africa,Nigeria,9.244261,9.367399,Trigger,A large number of deaths is reported in attack on farmers by armed herdsmen in Nigeria over water and land resources,"On a single day in Nigeria's Plateau state, an attack by armed herdsmen leaves dozens in farming communities dead. This attack is part of ongoing violence that is in part triggered by access to water and land resources. Reports vary in the number dead; one cites 200 and another, 86. ",Agence France-Presse (AFP) 2018b; Reuters 2018; McNeill and Akwagyiram 2018,
2019,2019,2019,5/18/2019-5/20/2019,Sub-Saharan Africa,Chad,14.13187,18.253342,Trigger,Disputes between herders and farmers over access to water lead to growing violence in Chad,Herders and farmers who used to coexist peacefully are now inflicting deadly wounds on each other over fights driven by water shortages in the Sahel region of Chad.,Agence France-Presse (AFP) 2019a; AFP/VOA 2019,
2019,2019,2019,6/7/2019,Southern Asia,India,11.127221,78.656946,Trigger,One death reported in a fight over water in southern India during a severe heat wave,"In Tamil Nadu, India, a 33 year old man dies as the result of a fight that broke out over water. India is experiencing a heat wave with temperatures reaching higher than 50 degrees C/120 degrees F. ",Agence France-Presse (AFP) 2019b,
2019,2019,2019,6/7/2019,Southern Asia,India,23.3441,85.309562,Trigger,"One man stabs six others in a fight over water shortages in Ranchi, India during severe heat wave","In Ranchi, India, one man stabs six other people due to water shortages. India is experiencing a heat wave with temperatures reaching higher than 50 degrees C/120 degrees F. ",Agence France-Presse (AFP) 2019b,
2016,2016,2016,7/1/2016,Latin America and the Caribbean,Honduras,14.156052,-88.036309,Trigger,"Four months after environmental activist Berta Caceres is murdered, her colleague Lesbia Janeth is also murdered for opposing the construction of a dam in La Paz, Honduras","Four months after internationally known Honduran environmental activist Berta Caceres is murdered, a second woman and environmental activist from the same organization is also murdered in Honduras. The second murdered woman, Lesbia Janeth, was working to stop the construction of a dam in La Paz, Honduras.",Agren 2016,
2019,2019,2019,2/20/2019,Latin America and the Caribbean,Mexico,18.743611,-98.770966,Trigger,"Indigenous environmental activist Samir Flores Soberanes is killed in Mexico, reportedly over opposition to a project that threatened local water resources","Samir Flores Soberanes, an indigenous environmental activist from Mexico, is killed in his home for his opposition to the Proyecto Integral Morelos, a thermoelectric plant and pipeline that threatened local water and land resources. The Moreles state prosecutor claims that the murder has nothing to do with the thermoelectric plant project. The People’s Front in Defence of the Land and Water for the states of Morelos, Puebla and Tlaxcala (FPDTA) state that the only enemies that Soberanes had were those involved with the project. ",Agren 2019,
1999,1999,1999,,Southern Asia,Bangladesh,23.7099,90.4158,Trigger,Injuries at protest in Bangladesh,Fifty people are hurt during strikes called to protest power and water shortages. Protests are led by former Prime Minister Begum Khaleda Zia over decrease in public services and deterioration of law and order.,Ahmed 1999,
2008,2008,2008,7/29/2008,Latin America and the Caribbean,Peru,-8.993688,-77.672224,Trigger,A local community takes control of dam outlet to prevent loss of water supply,"Over 100 villagers and farmers from the local community near Lake Paron in Peru use force to remove employees and take over the outlet controls of the lake after the lake had been drained by nearly 50% by the operator of the controls, a subsidiary of Duke Energy International, for hydropower operations.",Aiello 2009,
2013,2013,2013,,Southern Asia,Sri Lanka,6.9269,79.8642,Trigger,Sri Lankan archbishop accuses army of killing unarmed protestors,"The Catholic Archbishop of Colombo, Sri Lanka accuses the Sri Lankan army of shooting unarmed protesters and desecrating a church during demonstrations against water contamination. In the incident, at least six people are reported killed and more than 50 others wounded. Thousands of residents were protesting against the contamination of groundwater supply to 15 local villages, allegedly by chemical waste from a rubber glove factory.",Al Jazeera 2013; Sun 2013; Wipulasena 2013,
2015,2015,2015,,Western Asia,Iraq,36.6325,42.817,Casualty,Islamic State attacks Mosul Dam on the Tigris,"An attack by Islamic State (IS) fighters on the Mosul Dam on the Tigris river leads to the death of 16 Kurdish Peshmerga soldiers. The dam provides electricity to part of the Anbar province, which was under IS's control at the time. In August 2014, the dam is seized by Kurdish and Iraqi government forces from IS, who had taken control of it weeks earlier. The 1,200 families who are said to have been operating the dam mostly fled when IS seized power in fear that the dam would be used to flood downstream communities.",Al Jazeera 2015; PakTribune 2015,
2018,2018,2018,,Western Asia,Iraq,30.5081,47.7835,Trigger,Iraqi female activist assassinated,"An Iraqi activist, Su’ad Al-Ali, is assassinated while getting into her vehicle in Basra, Iraq. Mrs. Al-Ali had worked to bring better government services to her community, including safe and reliable drinking water.",Al Jazeera 2018a,
2019,2019,2019,2/21/2019,Southern Asia,India,33.769489,76.580424,Weapon,India responds to deadly attack by threatening to curtal water deliveries to Pakistan,"An attack by a Pakistan-based group that killed at least 40 Indian soldiers has worsened tensions between the two countries, prompting Indian leaders to threaten to curtail water deliveries from rivers flowing into Pakistan. Curtailment of water deliveries could undermine the 1960 Indus Water Treaty, which stipulates the sharing of water resources between the two countries.",Al Jazeera 2019; TheNewArab 2019; Johnson 2019,
2006,2006,2006,,Western Asia,Yemen,15.6667,43.7667,Trigger,Armed clashes in Yemen,"Local media report a struggle between Hajja and Amran tribes over a well located between the two governorates in Yemen. According to news reports, armed clashes between the two sides force many families to leave their homes and migrate. News reports confirm that authorities had arrested 20 people in an attempt to stop the fighting.",Al-Ariqi 2006,
2008,2008,2008,,Sub-Saharan Africa,Kenya,2.72,41.02,Trigger,Four killed in Kenya over dispute over boreholes,"Fighting over boreholes in arid northern Kenya kills at least four people as competition for resources grows in the drought-hit region between the Murulle and Garre clans in El Wak, Mandera District.",Ali and Wallis 2008,
2015,2015,2015,,Western Asia,Iraq,33.4344,43.2653,Weapon,Islamic State shuts off water flow below Ramadi Dam,"In June 2015, Islamic State in Iraq and the Levant (ISIL) militants shut off and redirect water flows below Ramadi Dam in order to facilitate military movements across the Euphrates River. As a result, communities downstream face water shortages.",Alkhshali and Smith-Spark 2015; Coles 2015,
2014,2014,2014,,Sub-Saharan Africa,Nigeria,8.57165,7.69083,Trigger,Farmers and herdsmen clash over land and water access,"In Nigeria, Tiv/Agatu farmers and Fulanis herdsmen clash over access to grazing land and water points. In April 2014, President Goodluck Jonathan orders military operations in Benue, Nasarawa, and Plateau states in an effort to reduce the violence.",All Africa 2014,
2013,2013,2013,,Western Asia,Palestine,31.6898,34.5942,Casualty,Blockade causes shutdown of Gaza wastewater treatment plant,"An Egyptian and Israel blockade of Gaza cut fuel supplies and causes a shutdown of Gaza's wastewater treatment plants, leading to massive overflow of sewage.",Al-Mughrabi 2013,
1999,1999,1999,,Western Asia,Yemen,13.6,44,Trigger,Villagers killed in Yemen water clash,"Yemen sends 700 soldiers to quell fighting that claims six lives and injured 60 others in clashes that erupt between two villages fighting over a local spring near Taiz. The village of Al-Marzuh believes it is entitled to exclusive use of a spring because it is located on their land; the neighboring village of Quradah believes their right to the water was affirmed in a 50-year-old court verdict. The dispute erupts in violence. President Ali Abdullah Saleh intervenes by summoning the sheikhs of the two villages to the capital, and sorts out the problem by dividing the water into halves.",Al-Qadhi 2003,
2015,2015,2015,,Northern Africa,Egypt,30.7327,31.7195,Casualty,Water pipe attacked in Egypt,"A bomb explodes under a water pipe in al-Rahmaniya village, Abu Kebir, Sharqia governorate, Egypt. ",Al-Youm 2015,
2010,2013,2010-2013,,Southern Asia,"Iran, Afghanistan",32.8741,60.7756,"Trigger, Casualty",Water disputes between Iran and Afghanistan escalate,"Disputes over water between Iran and Afghanistan are escalating. One Afghan newspaper, Weesa, suggests that Iran blocked the transport of fuel oil to Afghanistan in 2010 as a means to put more pressure on the country over water. An Iranian editorial calls for bolder action by the Foreign Ministry and states that any aid to Afghanistan should be linked to ""Iran's rights to water."" In 2011, Mullah Dadullah, a Taliban commander captured in southwestern Afghanistan by Afghan authorities, claims to have been trained in Iran to sabotage projects in Afghanistan, including being offered $50,000 to destroy the Kamal Khan Dam, a claim Iran has denied. Shakila Hakimi, a member of the Nimroz provincial council, accuses Iran in 2012 of conducting an insurgency in order to prevent construction of the Kamal Khan Dam.",Aman 2013; Etedaalier 2011; Muhammadi 2011; Radio Free Europe 2011,
2018,2019,2018-2019,NA,Sub-Saharan Africa,Ethiopia,9.036939,35.4936,Trigger,"Violence in western Ethiopia, in part driven by shortages of water and land resources, displaces one million people",Violence in western Ethiopia displaces one million people. The violence is in part driven by shortages of water and land resources. ,Amare 2019,
2003,2007,2003-2007,,Northern Africa,Sudan,13.4667,24.7667,Casualty,Sudan targets water in civil war,"The ongoing civil war in the Sudan has included violence against water resources. In 2003, villagers from around Tina said that bombings had destroyed water wells. In Khasan Basao they alleged that water wells were poisoned. In 2004, wells in Darfur were intentionally contaminated as part of a strategy of harassment against displaced populations.",Amnesty International 2004; Schofield 2004; Bromwhich 2018,
2011,2011,2011,,Melanesia,Solomon Islands,-9.6,160.16,Casualty,Solomon Islands women attacked while fetching water,"Amnesty International reports that women in the slums of the Solomon Islands must walk over a kilometer to fetch clean water and are ""continually harassed, attacked, and raped."" A survey shows that 92 percent of households do not have a tap in their home, and that local water sources are often polluted, forcing women to walk through areas which are unsafe.",Amnesty International 2011,
2010,2010,2010,,Latin America and the Caribbean,Guatemala,14.93,-89.83,Trigger,Guatemalans mine protestors shot,Two unidentified gunmen on a motorbike shoot an activist protesting the impacts of mining on water quality and local water rights.,Amnesty International 2012,
1999,1999,1999,,Western Asia,Turkey,41.0082,28.9784,Casualty,Water tanker in Istanbul is attacked.,"A water tank is damaged from a petrol bomb thrown by unknown assailants in Istanbul, Turkey.",Anatolia 1999; National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 199909280001,
-210,-210,210 BC,,Southern Asia,Unknown,36.3978,54.9032,Casualty,Parthian king Arsaces III destroys water supply system,"Around 210 BC, Arsaces III, one of the Parthian kings, destroys qanats (underground channels) in order to make it difficult for the attacking army of Seleucid Antiochus to advance toward the Parthian capital, Hecatompylos.",Angelakis et al 2016,
2012,2012,2012,,Southeast Asia,Indonesia,-3.599,128.621,Trigger,Indonesian mobs battle over water source,"Violence over access to a water source in Maluku, Indonesia. Rival mobs from two villages attack one another ""with sharp weapons, guns and explosives"" causing several deaths and injuries.",Antara 2012,
2012,2012,2012,,Latin America and the Caribbean,Peru,-14.8,-71.4,Triggr,Protestors injured and 2 killed at Peru's Tintaya mine,Protests because of concerns over water quality and water rights around the Xstrata Tintaya copper mine lead to two deaths and 50 injuries.,Aquino and Wade 2012,
2014,2014,2014,Unknown,Central Asia,Kyrgyzstan,40.62136,73.64725,Trigger,Violence over access to water between neighbors in Kyrgyzstan leaves one dead,In Kyrgyzstan an Uzbek farmer is killed by his Kyrgyz neighbor who reportedly attacks him over access to irrigation water.,Arnold 2018,
2018,2018,2018,Unknown,Central Asia,Kyrgyzstan,39.88027,70.519059,Trigger,Clashes expand between Tajik and Kyrgyz farmers over irrigation water,"Clashes between farmers over irrigation water across the Tajikistan-Kyrgyzstan border escalate, with at least two instances involving armed guards to defuse the fights. One fight started over the installation of a water pump. ",Arnold 2018,
2003,2003,2003,,North America,United States,38.8951,-77.0367,Weapon,Al Qaeda theatens US water,"Al-Qaeda threatens U.S. water systems via call to a London-based, Saudi-owned magazine. The spokesman told the magazine that ""al Qaeda [does not rule out] using sarin gas and poisoning drinking water in U.S. and Western cities.""","Associated Press (AP) 2003a; Waterman 2003; Washington Times, The 2003",
2003,2003,2003,,North America,United States,43.5847,-85.4686,"Trigger, Casualty",Bombs found at US bottling plant,"Four incendiary devices are found in the pumping station of a Michigan water-bottling plant. The Earth Liberation Front (ELF) claims responsibility, accusing Ice Mountain Water Company of ""stealing"" water for profit. Ice Mountain is a subsidiary of Nestle Waters.",Associated Press (AP) 2003b,
2004,2004,2004,,Western Asia,Palestine,31.35,34.3,Weapon,US halts water projects in Gaza,The United States halts two water development projects as punishment to the Palestinian Authority for their failure to find those responsible for a deadly attack on a US diplomatic convoy in October 2003.,Associated Press (AP) 2004,
2010,2010,2010,,Southern Asia,Afghanistan,33.3401,69.9197,Weapon,Bomb in water truck kills 3 in Afghanistan,"A remote-controlled bomb hidden in a water truck kills three people, including two children, in the eastern Afghan province of Khost, which borders Pakistan.",Associated Press (AP) 2009,
2012,2012,2012,,Latin America and the Caribbean,Brazil,-20.4428,-54.6458,Weapon,Brazilian landowners poison tribe's water,"Brazil's federal police respond to reports that water used by the indigenous Guarani-Kaiowa tribe was poisoned by nearby landowners attempting to gain control over disputed land. Since 2009, the dispute has led to the deaths of three tribesmen, who say the water runs through sacred land.",Associated Press (AP) 2012a,
2012,2012,2012,,Northern Africa,Egypt,26.0587,29.2576,Trigger,Villagers protest contaminated water in Egypt,Villagers from the Nile Delta province of Menoufia north of Cairo briefly lock the Egyptian health minister and a provincial governor inside a hospital room in protest over contaminated water caused hundreds of residents to fall ill. Egypt's state-run news agency MENA says the number of sick people reached more than 400. The two are released with police intervention.,Associated Press (AP) 2012b,
2013,2013,2013,,Southern Asia,Iran,32.4201,52.6485,"Trigger, Casualty",Farmers in Iran clash with police over water diversions,"Hundreds of farmers in the town of Varzaneh, in Iran's Isfahan province, clash with police during a protest against the government's decision to divert water from the area to another province. Iranian media say farmers smash a pipeline carrying water from Zayanderud river to neighboring Yazd province in an effort to prevent the water transfer. Dozens are reported injured and more arrested.",Associated Press (AP) 2013b; Javedanfar 2013,
2018,2018,2018,,Sub-Saharan Africa,Nigeria,9.24457,9.36731,Trigger,11 deaths attributed to ongoing conflict between herdsmen and farmers,"11 are killed and 11 more injured during an attack by Fulani herdsmen on a farming community in Central Nigeria, ignited by the continuing conflict over land and water resources.",Associated Press (AP) 2018a,
2014,2014,2014,,Western Asia,Iraq,35.2995,44.3284,Casualty,Attack on water construction project in Iraq,"Shots are fired at a checkpoint for an Iranian company working on a water project south of Kirkuk, Iraq. ",Aswat al-Iraq 2014a,
2014,2014,2014,,Western Asia,Iraq,33.2232,43.6793,Casualty,Bombing injures two at water project in Iraq,Two people are injured when a bomb explodes near the center of the city Tuz Khurmatu at the town's water project.,Aswat al-Iraq 2014b,
1970,1970,1970,,North America,United States,39.1626,-76.6247,Casualty,Neo-Nazis drop bombs in Maryland sewage plant,"A group of teenagers associated with a neo-Nazi group attempt to spark racial conflict by dropping bombs into a sewage pumping station in Maryland, USA, an event they hope will be blamed on African Americans. Damage is caused to the pumping station.",Baltimore Sun 1970; National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 197010020004,
2014,2014,2014,,Southern Asia,India,24.6327,79.2796,Trigger,Armed bandits force villages to pay a 'water tax',"Drought in northern India causes local bandits to threaten to kill nearby villagers unless they deliver water to their rural hideouts. Twenty-eight local villages obey the order and take turns paying what the bandits call a daily ""water tax.'",Banerjee 2014,
2013,2013,2013,,Western Asia,Yemen,13.58,44.0217,Casualty,Armed gang sabotages main water pipeline in Yemen,"An armed gang sabotages the main water pipeline from Sana'a to Ta'izz in al Hawjila, Ta'izz governorate on June 23.",Barakishnet 2013; Critical Threats 2013,
2014,2014,2014,,Latin America and the Caribbean,Mexico,19.3318,-99.267,Trigger,Protests over spring diversion erupts in violence,"Protestors in San Bartolo Ameyalco on the outskirts of Mexico City battle anti-riot police during a protest to prevent the diversion of local spring water to a new development nearby. More than 100 people are injured, some seriously.",Becerra 2014,
2016,2016,2016,,North America,United States,41.0193,-73.6835,Weapon,Small dam is cyber attacked,"U.S. authorities discover that Iranian hackers have successfully infiltrated the control system of a small dam in New York State. Due to work being performed on the dam, the hackers are unable to alter dam operations, however the event exposes the risks of cyberattacks on U.S. infrastructure.",Berger 2016,
2008,2008,2008,,Western Asia,Iraq,34.0707,44.2574,Casualty,Iraqi water station destroyed,"A water station under construction is destroyed in an attack by an unidentified gunman. Explosives are also placed on the road near the project, injuring one person. The station was going to provide potable water to four villages that were at a distance from the Tigris River, east of Dalouiya. ",Berwani 2008,
2012,2012,2012,,Sub-Saharan Africa,"Uganda, Kenya",1.71962,34.8991,Trigger,Violent conflict among Kenyan and Ugandan herders,"Tensions lead to violence between Uganda and Kenya after Kenyan Pokot herdsmen cross the border seeking water and pasture. In October, the Ugandan government sends 5,000 soldiers to control violence among pastoralists from the two countries.",Bii 2012,
1947,1969,1947-1960s,,Southern Asia,"India, Pakistan",33.7167,73.0667,Weapon,Indus divided between India and Pakistan,"Partition leaves Indus basin divided between India and Pakistan; disputes over irrigation water ensue, during which India stems flow of water into irrigation canals in Pakistan. Indus Waters Agreement reached in 1960 after 12 years of World Bank-led negotiations.","Bingham, Wolf, and Wohlegenant 1994",
2002,2002,2002,,Latin America and the Caribbean,Colombia,1.85298,-76.0489,Weapon,"""Unknown agent"" released into water treatment plant in Colombia","Revolutionary Armed Forces of Colombia (FARC) releases an ""unknown agent,"" presumably thought to be poisonous, in a water treatment plant. No injuries are reported.",Bogota Cambio 2002a; Bogota Cambio 2002b; Xinhua General News Service 2002; National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 200202230003,
2012,2012,2012,,Latin America and the Caribbean,Brazil,-3.11583,-51.7958,Trigger,"Protestors burn buildings at Belo Monte Dam site, Brazil",Work on the controversial $13 billion Belo Monte dam is halted after protesters burn buildings at three dam sites.,Borisov 2012,
2006,2006,2006,,Northern Africa,Sudan,18.9005,32.1345,Trigger,Sudanese anti-dam militia attacks school,"Militia of the Merowe Dam Militia Implementation Unit in the Sudan attack a gathering of villagers concerned about the community impacts of the dam at a school in Amri village, killing three farmers and injuring more than 50 others.",Bosshard 2009,
2007,2007,2007,,Northern Africa,Sudan,19.9463,30.5319,Trigger,Violent protests against the Kajbar Dam in Sudan,Angry villagers in the Sudan stage protests against Kajbar Dam; four villagers are killed by government militia.,Bosshard 2009,
1999,1999,1999,,Southeast Asia,"East Timor, Indonesia",-8.86608,125.795,Casualty,Indonesian militia dump bodies in wells in East Timor,Militia opposing East Timor independence kills pro-independence supporters and throws bodies in water well.,British Broadcasting Corporation (BBC) 1999,
2000,2000,2000,,Sub-Saharan Africa,Kenya,3.35528,40.2228,Trigger,Kenyans battle monkeys for drought relief,A clash between villagers and thirsty monkeys leaves eight apes dead and ten villagers wounded. The duel starts after water tankers bring water to a drought-stricken area and monkeys desperate for water attack the villagers.,British Broadcasting Corporation (BBC) 2000; Okoko 2000,
2001,2001,2001,,Southern Asia,Afghanistan,32.3219,65.1189,Casualty,US bombs Afghan powerhouse,"American forces bomb the hydroelectric facility at Kajaki Dam in Helmand province of Afghanistan, cutting off electricity for the city of Kandahar. The dam itself is not targeted.",British Broadcasting Corporation (BBC) 2001; Parry 2001,
2002,2002,2002,,Southern Europe,Italy,41.9002,12.4839,Weapon,Italy foils terror plot,"Italian police arrest four Moroccans allegedly planning to contaminate the water supply system in Rome with a cyanide-based chemical, targeting buildings that included the United States embassy. Ties to Al-Queda are suggested.",British Broadcasting Corporation (BBC) 2002,
2002,2002,2002,,Northern Africa,Algeria,36.6557,6.84046,Trigger,Algerians riot over water shortages,"Algerians protesting against water shortages riot in the eastern coastal town of El Arrouch, Algeria, setting fire to buildings and vehicles.",British Broadcasting Corporation (BBC) 2002,
2004,2006,2004-2006,,Sub-Saharan Africa,Ethiopia,5.25,44,Trigger,Violence over water in Ethiopia,"At least 250 people killed and many more injured in clashes over water wells and pastoral lands. Villagers call it the ""War of the Well"" and describe ""well warlords, well widows, and well warriors."" A three-year drought has led to extensive violence over limited water resources, worsened by the lack of effective government and central planning.",British Broadcasting Corporation (BBC) 2004; Associated Press (AP) 2005; Wax 2006,
2006,2006,2006,,Sub-Saharan Africa,Ethiopia,5.25,44,Trigger,Violent water clashes in Somali Region,At least 12 people die and over 20 are wounded in clashes over competition for water and pasture in the Somali border region.,British Broadcasting Corporation (BBC) 2006a,
2006,2006,2006,,Southern Asia,Sri Lanka,9.1,80.6194,Casualty,Sri Lankan rebels cut water supplies,"A major battle between the Liberation Tigers of Tamil Eelam (Tamil Tigers, LTTE) and the Sri Lankan Armed Forces takes place in July and August 2006 around the watershed of the Mavil Aru (Mother River) in the Kallar area of Trincomalee district. The Mavil Aru, a tributary of the Mahaweli River, supplies water to 20,000 villagers in the eastern Sri Lanka. The sluice-gates of the waterway are captured and closed by the LTTE, cutting off water supplies and leading to a major operation against them by the Sri Lankan military. The armed forces launch air strikes with the aim of capturing the waterway and sluice-gates, which was achieved on August 11, 2006.",British Broadcasting Corporation (BBC) 2006b; British Broadcasting Corporation (BBC) 2006c; Gutierrez 2006,
